name,lat,lon,country
LAAYOUNE,27.08,-13.43,Western Sahara
ABADAN,30.33,48.28,Iran
ABERDEEN,57.15,-2.08,United Kingdom
ABIDJAN,5.25,-4.02,Côte d'Ivoire
TURKU,60.45,22.23,Finland
HIMEJI,34.75,134.63,Japan
ACAJUTLA,13.58,-89.83,El Salvador
ADEN,12.78,44.95,Yemen
AGADIR,30.43,-9.63,Morocco
AGUADILLA,18.43,-67.15,Puerto Rico
AHUS,55.93,14.32,Sweden
AJMAN,25.42,55.43,United Arab Emirates
KEMI,65.73,24.57,Finland
KOBE,34.65,135.18,Japan
AL SHAHEEN TERMINAL,26.58,52.0,Qatar
ALBANY,42.65,-73.75,United States
ALBANY,-35.03,117.88,Australia
KINGSTON UPON HULL,53.75,-0.28,United Kingdom
SANTOS,-23.95,-46.3,Brazil
ALESUND,62.47,6.17,Norway
ALGECIRAS,36.13,-5.43,Spain
ALIAGA,38.83,26.93,Turkey
ALICANTE,38.33,-0.48,Spain
ALMERIA,36.83,-2.47,Spain
ALMIRANTE,9.3,-82.4,Panama
ALTAMIRA,22.48,-97.85,Mexico
RIO DE JANEIRO,-22.9,-43.17,Brazil
AMAGASAKI,34.7,135.38,Japan
AMAMAPARE,-4.82,136.97,Indonesia
AMBES,45.02,-0.53,France
AMBON,-3.68,128.17,Indonesia
XIAMEN,24.45,118.07,China
AMSTERDAM,52.37,4.9,Netherlands
ANACORTES,48.52,-122.62,United States
ANCHORAGE,61.22,-149.9,United States
ANCONA,43.62,13.5,Italy
ANDOANY,-13.4,48.3,Madagascar
ANGRA DO HEROISMO,38.65,-27.22,Portugal
ANGRA DOS REIS,-23.02,-44.32,Brazil
ANNABA,36.92,7.77,Algeria
ANTALYA,36.83,30.62,Turkey
ANTILLA,20.83,-75.73,Cuba
ANTOFAGASTA,-23.65,-70.42,Chile
ANTSIRANANA,-12.27,49.28,Madagascar
APIA,-13.82,-171.77,Samoa
ARATU,-12.78,-38.5,Brazil
ARKHANGELS'K,64.53,40.53,Russia
ARDROSSAN,-34.43,137.92,Australia
ARENDAL,58.47,8.77,Norway
ARRECIFE,28.95,-13.53,Spain
LHOKSEUMAWE,5.25,97.12,Indonesia
ARZEW,35.85,-0.3,Algeria
ASHDOD,31.82,34.65,Israel
ASHTABULA,41.9,-80.8,United States
ASSAB,13.0,42.75,Eritrea
ASSENS,55.27,9.88,Denmark
ATSUMI,34.67,137.07,Japan
AUCKLAND,-36.85,174.77,New Zealand
AUGUSTA,37.22,15.23,Italy
AULTBEA,57.83,-5.58,United Kingdom
AVATIU,-21.2,-159.78,Cook Islands
AVEIRO,40.65,-8.65,Portugal
AVILES,43.6,-5.93,Spain
MARTINEZ,38.03,-122.13,United States
AVONMOUTH,51.5,-2.72,United Kingdom
MARIUPOL,47.08,37.57,Ukraine
BAHIA BLANCA,-38.78,-62.27,Argentina
BAJO GRANDE,10.52,-71.63,Venezuela
BAKAR,45.3,14.53,Croatia
BALHAF,13.97,48.18,Yemen
BALBOA,8.95,-79.57,Panama
BALIKPAPAN,-1.25,116.82,Indonesia
SYDNEY,-33.87,151.2,Australia
BALTIMORE,39.27,-76.58,United States
BALTIYSK,54.63,19.9,Russia
BANANA,-5.98,12.38,Democratic Republic of the Congo
BANDAR ABBAS,27.15,56.2,Iran
BANDIRMA,40.35,27.97,Turkey
BANGKOK,13.75,100.5,Thailand
BANJARMASIN,-3.33,114.58,Indonesia
BANJUL,13.45,-16.57,Gambia
BANTEN,-6.02,105.97,Indonesia
BANTRY,51.68,-9.45,Ireland
BAR,42.08,19.08,Montenegro
BRIDGETOWN,13.1,-59.63,Barbados
BARCELONA,41.35,2.17,Spain
BARI,41.13,16.87,Italy
VUNG TAU,10.35,107.07,Vietnam
GLADSTONE,-23.85,151.25,Australia
BARRANQUILLA,10.97,-74.77,Colombia
BARRY,51.4,-3.27,United Kingdom
BASSETERRE,17.3,-62.72,Saint Kitts and Nevis
BASTIA,42.7,9.45,France
BASUO,19.1,108.62,China
BATA,1.87,9.77,Equatorial Guinea
BATANGAS CITY,13.75,121.05,Philippines
BATON ROUGE,30.45,-91.18,United States
BATUMI,41.65,41.65,Georgia
BAYONNE,40.68,-74.1,United States
BAYONNE,43.5,-1.47,France
PASCAGOULA,30.35,-88.57,United States
BAYTOWN,29.73,-95.02,United States
BAYUQUAN,40.3,122.08,China
BAYWAY,40.63,-74.2,United States
BEAUFORT,34.72,-76.67,United States
BEAUMONT,30.08,-94.08,United States
BEIHAI,21.48,109.07,China
NINGBO,29.88,121.55,China
BEIRA,-19.83,34.83,Mozambique
BEJAIA,36.75,5.08,Algeria
BELAWAN,3.78,98.68,Indonesia
BELEM,-1.45,-48.5,Brazil
BELFAST,54.62,-5.9,United Kingdom
BELIZE CITY,17.5,-88.18,Belize
BENCHAMAS TERMINAL,10.52,101.25,Thailand
BENICIA,38.05,-122.15,United States
BENOA,-8.75,115.22,Indonesia
BERBERA,10.45,45.02,Somalia
BERDYANSK,46.75,36.78,Ukraine
BERGEN,60.4,5.32,Norway
BHAVNAGAR,21.77,72.23,India
NEW ORLEANS,29.95,-90.05,United States
BITUNG,1.43,125.18,Indonesia
JACKSONVILLE,30.32,-81.65,United States
BLYTH,55.12,-1.5,United Kingdom
BOCA GRANDE,26.7,-82.33,United States
BODO,67.28,14.38,Norway
HOUSTON,29.75,-95.28,United States
BOMA,-5.85,13.05,Democratic Republic of the Congo
KRALENDIJK,12.15,-68.28,"Bonaire, Sint Eustatius and Saba"
